Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Stock,Daily Return
1980-12-15,0.1222100034356117,0.1222100034356117,0.1216519996523857,0.1216519996523857,0.093781292438507,175884800,0.0,0.0,AAPL,-0.0521706112694712
1980-12-16,0.1132809966802597,0.1132809966802597,0.1127230003476142,0.1127230003476142,0.0868979692459106,105728000,0.0,0.0,AAPL,-0.07339788355543386
1980-12-17,0.1155129969120025,0.1160710006952285,0.1155129969120025,0.1155129969120025,0.089048758149147,86441600,0.0,0.0,AAPL,0.024750907585714632
1980-12-18,0.1188620030879974,0.1194199994206428,0.1188620030879974,0.1188620030879974,0.0916304588317871,73449600,0.0,0.0,AAPL,0.028992462021794507
1980-12-19,0.1261159926652908,0.1266739964485168,0.1261159926652908,0.1261159926652908,0.0972226113080978,48630400,0.0,0.0,AAPL,0.06102866676344876
1980-12-22,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,0.1019543036818504,37363200,0.0,0.0,AAPL,0.04866957539202765
1980-12-23,0.1378349959850311,0.1383929997682571,0.1378349959850311,0.1378349959850311,0.10625671595335,46950400,0.0,0.0,AAPL,0.042199036078984786
1980-12-24,0.1450890004634857,0.1456470042467117,0.1450890004634857,0.1450890004634857,0.1118487864732742,48003200,0.0,0.0,AAPL,0.05262817636852102
1980-12-26,0.1584820002317428,0.1590400040149688,0.1584820002317428,0.1584820002317428,0.1221734583377838,55574400,0.0,0.0,AAPL,0.0923088568083954
1980-12-29,0.1607140004634857,0.1612720042467117,0.1607140004634857,0.1607140004634857,0.1238940879702568,93161600,0.0,0.0,AAPL,0.014083619770567601
1980-12-30,0.1573659926652908,0.1573659926652908,0.156808003783226,0.156808003783226,0.1208830177783966,68880000,0.0,0.0,AAPL,-0.02430402248089847
1980-12-31,0.1529020071029663,0.1529020071029663,0.1523440033197403,0.1523440033197403,0.1174416616559028,35750400,0.0,0.0,AAPL,-0.02846793757834465
1981-01-02,0.1540179997682571,0.1551340073347091,0.1540179997682571,0.1540179997682571,0.118732064962387,21660800,0.0,0.0,AAPL,0.010988266108534761
1981-01-05,0.1512279957532882,0.1512279957532882,0.1506700068712234,0.1506700068712234,0.1161512359976768,35728000,0.0,0.0,AAPL,-0.02173767288285311
1981-01-06,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.1109885200858116,45158400,0.0,0.0,AAPL,-0.04444822239846047
1981-01-07,0.1383929997682571,0.1383929997682571,0.1378349959850311,0.1378349959850311,0.10625671595335,55686400,0.0,0.0,AAPL,-0.04263297434118318
1981-01-08,0.1356029957532882,0.1356029957532882,0.1350450068712234,0.1350450068712234,0.104105919599533,39827200,0.0,0.0,AAPL,-0.020241514818999273
1981-01-09,0.1422989964485168,0.1428570002317428,0.1422989964485168,0.1422989964485168,0.109698012471199,21504000,0.0,0.0,AAPL,0.053715348278005504
1981-01-12,0.1422989964485168,0.1422989964485168,0.141183003783226,0.141183003783226,0.1088377460837364,23699200,0.0,0.0,AAPL,-0.007842589850551307
1981-01-13,0.1367190033197403,0.1367190033197403,0.1361609995365142,0.1361609995365142,0.1049662083387374,23049600,0.0,0.0,AAPL,-0.03557088397426833
1981-01-14,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,0.1053964346647262,14291200,0.0,0.0,AAPL,0.004098117560281667
1981-01-15,0.1395090073347091,0.140625,0.1395090073347091,0.1395090073347091,0.1075472459197044,14067200,0.0,0.0,AAPL,0.020406848698596214
1981-01-16,0.1389510035514831,0.1389510035514831,0.1383929997682571,0.1383929997682571,0.1066868975758552,13395200,0.0,0.0,AAPL,-0.007999537719987404
1981-01-19,0.1467629969120025,0.1473210006952285,0.1467629969120025,0.1467629969120025,0.1131392568349838,41574400,0.0,0.0,AAPL,0.06047991703165034
1981-01-20,0.1428570002317428,0.1428570002317428,0.1422989964485168,0.1422989964485168,0.109698012471199,30083200,0.0,0.0,AAPL,-0.03041638939931357
1981-01-21,0.1450890004634857,0.1462049931287765,0.1450890004634857,0.1450890004634857,0.1118487864732742,15904000,0.0,0.0,AAPL,0.019606631702271393
1981-01-22,0.1467629969120025,0.1478790044784546,0.1467629969120025,0.1467629969120025,0.1131392568349838,35548800,0.0,0.0,AAPL,0.011537721282586899
1981-01-23,0.1467629969120025,0.1473210006952285,0.1462049931287765,0.1462049931287765,0.1127091348171234,11222400,0.0,0.0,AAPL,-0.0038020740579493006
1981-01-26,0.1445309966802597,0.1445309966802597,0.1439729928970337,0.1439729928970337,0.1109885200858116,24640000,0.0,0.0,AAPL,-0.015266238067374815
1981-01-27,0.1439729928970337,0.1439729928970337,0.1428570002317428,0.1428570002317428,0.1101282015442848,23699200,0.0,0.0,AAPL,-0.007751402834898502
1981-01-28,0.1389510035514831,0.1389510035514831,0.1383929997682571,0.1383929997682571,0.1066868975758552,28156800,0.0,0.0,AAPL,-0.031248034441743733
1981-01-29,0.1339289993047714,0.1339289993047714,0.1333709955215454,0.1333709955215454,0.1028154343366622,43904000,0.0,0.0,AAPL,-0.03628799328810839
1981-01-30,0.1272320002317428,0.1272320002317428,0.1261159926652908,0.1261159926652908,0.0972226113080978,46188800,0.0,0.0,AAPL,-0.05439715605243867
1981-02-02,0.1194199994206428,0.1194199994206428,0.1188620030879974,0.1188620030879974,0.0916304588317871,23766400,0.0,0.0,AAPL,-0.05751839575608264
1981-02-03,0.1233260035514831,0.1238839998841285,0.1233260035514831,0.1233260035514831,0.0950717777013778,19152000,0.0,0.0,AAPL,0.037556160484531365
1981-02-04,0.1277900040149688,0.1283479928970337,0.1277900040149688,0.1277900040149688,0.0985130742192268,27865600,0.0,0.0,AAPL,0.036196749549434415
1981-02-05,0.1277900040149688,0.1289059966802597,0.1277900040149688,0.1277900040149688,0.0985130742192268,7929600,0.0,0.0,AAPL,0.0
1981-02-06,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,0.098943218588829,13865600,0.0,0.0,AAPL,0.004366451714013175
1981-02-09,0.1227679997682571,0.1227679997682571,0.1216519996523857,0.1216519996523857,0.093781292438507,16755200,0.0,0.0,AAPL,-0.0521706112694712
1981-02-10,0.1216519996523857,0.1222100034356117,0.1216519996523857,0.1216519996523857,0.093781292438507,18345600,0.0,0.0,AAPL,0.0
1981-02-11,0.1183039993047714,0.1183039993047714,0.117746002972126,0.117746002972126,0.0907701626420021,13843200,0.0,0.0,AAPL,-0.03210795294299218
1981-02-12,0.1171879991889,0.1171879991889,0.1166289970278739,0.1166289970278739,0.0899090468883514,14560000,0.0,0.0,AAPL,-0.009486572079364097
1981-02-13,0.1149550005793571,0.1149550005793571,0.1138390004634857,0.1138390004634857,0.0877582728862762,11155200,0.0,0.0,AAPL,-0.023921980257803233
1981-02-17,0.1166289970278739,0.1171879991889,0.1166289970278739,0.1166289970278739,0.0899090468883514,12275200,0.0,0.0,AAPL,0.024508266525786082
1981-02-18,0.1216519996523857,0.1227679997682571,0.1216519996523857,0.1216519996523857,0.093781292438507,19241600,0.0,0.0,AAPL,0.04306821418786044
1981-02-19,0.1149550005793571,0.1149550005793571,0.1143969967961311,0.1143969967961311,0.0881884023547172,22310400,0.0,0.0,AAPL,-0.05963734979273161
1981-02-20,0.1088170036673545,0.1088170036673545,0.1082589998841285,0.1082589998841285,0.0834566429257392,24371200,0.0,0.0,AAPL,-0.053655227706206676
